GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Snack bar,com.snackbar.checkout.usecase,CheckoutOrderUseCaseImpl,69,0,0,0,20,0,3,0,3,0
Snack bar,com.snackbar.basket.config,BasketConfig,28,0,0,0,6,0,6,0,6,0
Snack bar,com.snackbar.iam.application,UserService,56,0,0,0,18,0,5,0,5,0
Snack bar,com.snackbar.iam.application,JwtAuthenticationFilter,87,0,10,0,24,0,7,0,2,0
Snack bar,com.snackbar.iam.application,ApplicationConfiguration,43,0,0,0,11,0,7,0,7,0
Snack bar,com.snackbar.iam.application,AuthenticationService,71,0,0,0,19,0,5,0,5,0
Snack bar,com.snackbar.iam.application,JwtService,107,0,4,0,27,0,14,0,12,0
Snack bar,com.snackbar.iam.application,IamServiceImpl,13,0,0,0,5,0,2,0,2,0
Snack bar,com.snackbar.iam.application,SecurityConfiguration,126,0,0,0,25,0,6,0,6,0
Snack bar,com.snackbar.iam.application,OpenApiConfig,24,0,0,0,5,0,2,0,2,0
Snack bar,com.snackbar.productv2.infrastructure.controllers,Productv2DTOMapper,57,0,0,0,7,0,5,0,5,0
Snack bar,com.snackbar.productv2.infrastructure.controllers,Productv2Controller,122,0,0,0,32,0,8,0,8,0
Snack bar,com.snackbar.productv2.infrastructure.controllers,CreateProductv2Response,21,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.productv2.infrastructure.controllers,CreateProductv2Request,18,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.productv2.infrastructure.controllers,GetProductv2Response,21,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.basket.infrastructure.gateways,BasketRepositoryGateway,126,0,0,0,19,0,10,0,10,0
Snack bar,com.snackbar.basket.infrastructure.gateways,ItemEntityMapper,27,0,0,0,11,0,3,0,3,0
Snack bar,com.snackbar.basket.infrastructure.gateways,BasketEntityMapper,58,0,0,0,16,0,3,0,3,0
Snack bar,com.snackbar.cooking.application.usecases,StartPreparationUseCase,63,0,2,0,17,0,4,0,3,0
Snack bar,com.snackbar.cooking.application.usecases,CreateCookingUseCase,79,0,2,0,23,0,5,0,4,0
Snack bar,com.snackbar.cooking.application.usecases,GetCookingByOrderIdUseCase,21,0,2,0,7,0,3,0,2,0
Snack bar,com.snackbar.cooking.application.usecases,FinishPreparationUseCase,63,0,2,0,17,0,4,0,3,0
Snack bar,com.snackbar.cooking.application.usecases,GetAllCookingsUseCase,10,0,0,0,4,0,2,0,2,0
Snack bar,com.snackbar.cooking.application.usecases,ReceiveOrderUseCase,36,0,2,0,9,0,4,0,3,0
Snack bar,com.snackbar.orderRefactory.infrastructure.controllers,UpdateOrderStatusRequest,9,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.orderRefactory.infrastructure.controllers,CreateOrderResponse,18,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.orderRefactory.infrastructure.controllers,CreateOrderRequest,21,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.orderRefactory.infrastructure.controllers,OrderDTOMapper,76,0,0,0,24,0,5,0,5,0
Snack bar,com.snackbar.orderRefactory.infrastructure.controllers,CreateOrderController,77,0,2,0,20,0,9,0,8,0
Snack bar,com.snackbar.orderRefactory.infrastructure.controllers,OrderItemResponse,9,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.pickup.presentation,PickupController,23,0,0,0,8,0,3,0,3,0
Snack bar,com.snackbar.payment.infrastructure,MpService,47,0,0,0,17,0,4,0,4,0
Snack bar,com.snackbar.order.domain.model,Item,38,0,0,0,16,0,11,0,11,0
Snack bar,com.snackbar.order.domain.model,StatusOrder,51,0,0,0,2,0,1,0,1,0
Snack bar,com.snackbar.order.domain.model,Order,129,0,4,0,41,0,26,0,24,0
Snack bar,com.snackbar.order.adapter.in.web,OrderController,59,0,2,0,17,0,8,0,7,0
Snack bar,com.snackbar.config,FeignClientConfig,23,0,0,0,5,0,3,0,3,0
Snack bar,com.snackbar.pickup.usecase,IsReadyPickupUseCaseImpl,2,50,2,2,0,11,2,5,0,5
Snack bar,com.snackbar.pickup.usecase,NotifyCustomerUseCaseImpl,0,36,0,0,0,12,0,2,0,2
Snack bar,com.snackbar.pickup.usecase,DeliveryPickupUseCaseImpl,0,43,0,0,0,11,0,3,0,3
Snack bar,com.snackbar.iam.web,UserController,34,0,0,0,11,0,4,0,4,0
Snack bar,com.snackbar.iam.web,AuthenticationController,81,0,2,0,20,0,5,0,4,0
Snack bar,com.snackbar,SnackbarApplication,8,0,0,0,3,0,2,0,2,0
Snack bar,com.snackbar.cooking.infrastructure.controllers,CookingController,114,0,2,0,30,0,7,0,6,0
Snack bar,com.snackbar.cooking.infrastructure.controllers,CreateCookingResponse,12,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.cooking.infrastructure.controllers,CookingDTOMapper,28,0,0,0,7,0,3,0,3,0
Snack bar,com.snackbar.cooking.infrastructure.controllers,CookingExceptionHandler,15,0,0,0,7,0,3,0,3,0
Snack bar,com.snackbar.cooking.infrastructure.controllers,UpdateCookingRequest,6,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.cooking.infrastructure.controllers,GetCookingResponse,12,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.cooking.infrastructure.controllers,CreateCookingRequest,6,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.basket.infrastructure.controllers,ItemRequest,21,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.basket.infrastructure.controllers,BasketDTOMapper,78,0,0,0,28,0,6,0,6,0
Snack bar,com.snackbar.basket.infrastructure.controllers,BasketController,70,0,0,0,16,0,6,0,6,0
Snack bar,com.snackbar.basket.infrastructure.controllers,CreateBasketResponse,15,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.basket.infrastructure.controllers,CreateBasketRequest,21,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.basket.infrastructure.controllers,ItemResponse,15,0,0,0,1,0,1,0,1,0
Snack bar,com.snackbar.orderRefactory.config,OrderConfig,34,0,0,0,7,0,7,0,7,0
Snack bar,com.snackbar.orderRefactory.domain.valueobject,StatusOrder,51,0,0,0,2,0,1,0,1,0
Snack bar,com.snackbar.basket.domain.valueobject,ProductId,17,0,2,0,6,0,3,0,2,0
Snack bar,com.snackbar.product.entity,Product,106,0,12,0,34,0,21,0,15,0
Snack bar,com.snackbar.orderRefactory.infrastructure.persistence,StatusOrderEntity,51,0,0,0,2,0,1,0,1,0
Snack bar,com.snackbar.orderRefactory.infrastructure.persistence,OrderEntity,121,0,4,0,39,0,25,0,23,0
Snack bar,com.snackbar.cooking.infrastructure.gateways,CookingRepositoryGateway,79,0,2,0,19,0,6,0,5,0
Snack bar,com.snackbar.cooking.infrastructure.gateways,OrderEntityMapperCooking,97,0,4,0,37,0,7,0,5,0
Snack bar,com.snackbar.cooking.infrastructure.gateways,OrderDatabaseGatewayCooking,48,0,0,0,10,0,4,0,4,0
